
################################################################################
#          IDS of CJK characters for Yuhao Input Method (Yuniversus)           #
#          URL: https://github.com/forFudan/ids                                #
#          Yuhao Input Method: https://shurufa.app                             #
#          Author: ZHU Yuhao (朱宇浩) <dr.yuhao.zhu@outlook.com>               #
#          Unicode Version: 16.0+                                            #
#          File Date: 2024-09-24                                               #
################################################################################
#
# The progressive Ideographic Sequence Sequence (IDS) of CJK characters in this 
# file is used to generate the divisons for Yuhao Input Method (Yuniversus)], 
# a shape-based Chinese input method, that is able to input all CJK characters, 
# radicals, strokes, Tangut, etc.
#
# There are multiple columns, showing variations of different sources. 
# The sources are listed as follows:
#
# - G (People's Republic of China)
# - T (Taipei Computer Association)
# - H (Hong Kong SAR, PRC)
# - J (Japan)
# - K (Republic of Korea)
# - V (Socialist Republic of Vietnam)
# - U (Unicode Technical Comittee)
# - S (SAṃgaṇikīkṛtaṃ Taiśotripiṭakaṃ, SAT)
# - B (United Kingdom)
# - M (Macau SAR, PRC)
# - P (Democratic People's Republic of Korea)
#
# The characters that are used in the IDS are from:
#
# - CJK and all extensions.
# - Strokes, radicals, and supplements.
# - [Roots of Yuhao IME (Yuniversus)](https://shurufa.app/docs/yuniversus.html).
#
# Due to special rules of Yuniversus that the order of strokes is prioritized, 
# the descriptive characters `⿺`, namely "surround bottom and left side", 
# is replaced by either `⿱` or `⿰`, for specific radicals, e.g, `辶𠃊`. 
# Please be careful in such situations:
#
# - `近 = ⿺辶斤` will be replaced by `⿱斤辶`.
# - `亾 = ⿺𠃊人` will be replaced by `⿱人𠃊`.
#
# You can very welcomed to use, distribute, or modify the IDS in this file. 
# Let us work together to pass the Chinese culture down to the next generations.
#
################################################################################
char,unicode,block,G,T,H,J,K,V,U,S,B,M,P
𲏊,323CA,CJK-J,,,,,,,,,⿷⺄⿱一,,
𲏋,323CB,CJK-J,,,,,⿱夫乙,,,,,,
𲏌,323CC,CJK-J,,,,,,,,,⿹⺄𢆰,,
𲏍,323CD,CJK-J,,,,,⿱少乙,,,,,,
𲏎,323CE,CJK-J,,,,,⿱介乙,,,,,,
𲏏,323CF,CJK-J,,,,,⿱仇乙,,,,,,
𲏐,323D0,CJK-J,,,,,⿱勿乙,,,,,,
𲏑,323D1,CJK-J,,,,,,,,,⿰乙孔,,
𲏒,323D2,CJK-J,,,,,,,,,⿱乙𭙉,,
𲏓,323D3,CJK-J,⿺乙平,,,,,,,,,,
𲏔,323D4,CJK-J,,,,,⿱古乙,,,,,,
𲏕,323D5,CJK-J,,,,,⿱未乙,,,,,,
𲏖,323D6,CJK-J,,,,,⿱右乙,,,,,,
𲏗,323D7,CJK-J,,,,,⿱𠮟乙,,,,,,
𲏘,323D8,CJK-J,,,,,,,,⿺㠯𠃊,,,
𲏙,323D9,CJK-J,,,,,⿱句乙,,,,,,
𲏚,323DA,CJK-J,,,,,⿱代乙,,,,,,
𲏛,323DB,CJK-J,,,,,⿱⿰乙母,,,,,,
𲏜,323DC,CJK-J,,,,,⿱多乙,,,,,,
𲏝,323DD,CJK-J,,,,,⿱朴乙,,,,,,
𲏞,323DE,CJK-J,,,,,⿱此乙,,,,,,
𲏟,323DF,CJK-J,,,,,⿱朱乙,,,,,,
𲏠,323E0,CJK-J,,,,,⿱舛乙,,,,,,
𲏡,323E1,CJK-J,,,,,⿱艮乙,,,,,,
𲏢,323E2,CJK-J,,,,,⿱求乙,,,,,,
𲏣,323E3,CJK-J,,,,,⿰孛乙,,,,,,
𲏤,323E4,CJK-J,,,,,⿱余乙,,,,,,
𲏥,323E5,CJK-J,,,,,⿱条乙,,,,,,
𲏦,323E6,CJK-J,,,,,⿱尾乙,,,,,,
𲏧,323E7,CJK-J,,,,,⿱物乙,,,,,,
𲏨,323E8,CJK-J,,,,,⿱垂乙,,,,,,
𲏩,323E9,CJK-J,,,,,⿱居乙,,,,,,
𲏪,323EA,CJK-J,,,,,⿱阿乙,,,,,,
𲏫,323EB,CJK-J,,,,,⿱迲乙,,,,,,
𲏬,323EC,CJK-J,,,,,⿱茄乙,,,,,,
𲏭,323ED,CJK-J,,,,,⿱省乙,,,,,,
𲏮,323EE,CJK-J,,,,,⿱昭乙,,,,,,
𲏯,323EF,CJK-J,,,,,⿱飛乙,,,,,,
𲏰,323F0,CJK-J,,,,,⿱草乙,,,,,,
𲏱,323F1,CJK-J,,,,,⿱骨乙,,,,,,
𲏲,323F2,CJK-J,,,,,⿱條乙,,,,,,
𲏳,323F3,CJK-J,,,,,⿺乳下,,,,,,
𲏴,323F4,CJK-J,,,,,⿱高乙,,,,,,
𲏵,323F5,CJK-J,,,,,⿱兹乙,,,,,,
𲏶,323F6,CJK-J,,,,,⿱累乙,,,,,,
𲏷,323F7,CJK-J,,,,,⿰胃也,,,,,,
𲏸,323F8,CJK-J,,,,,⿺㐌杜,,,,,,
𲏹,323F9,CJK-J,,,,,⿱無乙,,,,,,
𲏺,323FA,CJK-J,,,,,⿱註乙,,,,,,
𲏻,323FB,CJK-J,,,,,⿱登乙,,,,,,
𲏼,323FC,CJK-J,,,,,⿱照乙,,,,,,
𲏽,323FD,CJK-J,,,,,⿺乳羽,,,,,,
𲏾,323FE,CJK-J,,,,,⿱道乙,,,,,,
𲏿,323FF,CJK-J,,,,,⿺乳所,,,,,,
𲐀,32400,CJK-J,,,,,⿺乳事,,,,,,
𲐁,32401,CJK-J,,,,,⿰耒了,,,,,,
𲐂,32402,CJK-J,⿱二山,,,,,,,,,,
𲐃,32403,CJK-J,,,,,,,⿱二百,,,,
𲐄,32404,CJK-J,⿱云巴,,,,,,,,,,
𲐅,32405,CJK-J,⿱勿云,,,,,,,,,,
𲐆,32406,CJK-J,,,,,,,,,⿱二非,,
𲐇,32407,CJK-J,⿰亚尔,,,,,,,,,,
𲐈,32408,CJK-J,⿱云⿰云云,,,,,,,,,,
𲐉,32409,CJK-J,⿰五菰,,,,,,,,,,
𲐊,3240A,CJK-J,,,,,,⿰二為,,,,,
𲐋,3240B,CJK-J,,,,,,⿱五淫,,,,,
𲐌,3240C,CJK-J,,⿱亠𰀡,,,,,,,,,
𲐍,3240D,CJK-J,,⿱亠保,,,,,,,,,
𲐎,3240E,CJK-J,,⿳⼇罒木,,,,,,,,,
𲐏,3240F,CJK-J,,⿺夜今,,,,,,,,,
𲐐,32410,CJK-J,,,,,,,⿱亠宮,,,,
𲐑,32411,CJK-J,,,,,,⿰亡涓,,,,,
𲐒,32412,CJK-J,,⿺亮克,,,,,,,,,
𲐓,32413,CJK-J,,,,,,,⿱⼇徵,,,,
𲐔,32414,CJK-J,,⿳亡罒能,,,,,,,,,
𲐕,32415,CJK-J,,,,,,,⿰亻丅,,,,
𲐖,32416,CJK-J,,,,,,⿰乃人,,,,,
𲐗,32417,CJK-J,,⿱人亐,,,,,,,,,
𲐘,32418,CJK-J,,⿰亻切,,,,,,,,,
𲐙,32419,CJK-J,,⿱人朩,,,,,,,,,
𲐚,3241A,CJK-J,,,,,⿱付人,,,,,,
𲐛,3241B,CJK-J,,,,,,,,⿰亻⿱巾丂,,,
𲐜,3241C,CJK-J,,⿲亻丨欠,,,,,,,,,
𲐝,3241D,CJK-J,,,,,,,,,⿰亻⿱山丁,,
𲐞,3241E,CJK-J,⿰亻犯,,,,,,,,,,
𲐟,3241F,CJK-J,,⿰⿻弓人⺀,,,,,,,,,
𲐠,32420,CJK-J,,,,,,,,,⿰亻⿱𠤎天,,
𲐡,32421,CJK-J,,,,,,⿰亻西,,,,,
𲐢,32422,CJK-J,,,,,,,,⿰仌⿱厶人,,,
𲐣,32423,CJK-J,⿱凹今,,,,,,,,,,
𲐤,32424,CJK-J,,,,,⿰亻⿵冂⿱儿口,,,,,,
𲐥,32425,CJK-J,,,,,,,,,⿰亻旱,,
𲐦,32426,CJK-J,⿰仍生,,,,,,,,,,
𲐧,32427,CJK-J,,,,,,⿰仍且,,,,,
𲐨,32428,CJK-J,,⿰亻㐬,,,,,,,,,
𲐩,32429,CJK-J,,,,,,⿰今尼,,,,,
𲐪,3242A,CJK-J,⿰亻阴,,,,,,,,,,
𲐫,3242B,CJK-J,⿰亻忍,,,,,,,,,,
𲐬,3242C,CJK-J,,⿻丅⿰仌仌,,,,,,,,,
𲐭,3242D,CJK-J,,,,,,⿰亻社,,,,,
𲐮,3242E,CJK-J,,,,,,⿱巨代,,,,,
𲐯,3242F,CJK-J,,⿰亻岩,,,,,,,,,
𲐰,32430,CJK-J,,⿰亻秉,,,⿰亻秉,,,,,,
𲐱,32431,CJK-J,,,,,,,,⿰亻𭾜,,,
𲐲,32432,CJK-J,,⿰亻庚,,,,,,,,,
𲐳,32433,CJK-J,,,,,,,,,⿰亻𡥘,,
𲐴,32434,CJK-J,,,,,,,,,⿰亻⿱左月,,
𲐵,32435,CJK-J,,,,,,⿰亻⿱石双,,,,,
𲐶,32436,CJK-J,,,,,,⿱伏甲,,,,,
𲐷,32437,CJK-J,,,,,⿰亻昱,,,,,,
𲐸,32438,CJK-J,,⿰亻胃,,,,,,,,,
𲐹,32439,CJK-J,,,,,,,,,亻⿱山西,,
𲐺,3243A,CJK-J,,,,,⿰亻⿱合廾,,,,,,
𲐻,3243B,CJK-J,,⿰亻奐,,,⿰亻奐,,,,,,
𲐼,3243C,CJK-J,,,,,,⿰仍但,,,,,
𲐽,3243D,CJK-J,,,,,⿰亻冠,,,,,,
𲐾,3243E,CJK-J,,⿰亻美,,,,⿰亻美,,,,,
𲐿,3243F,CJK-J,,⿰亻度,,,,,,,,,
𲑀,32440,CJK-J,⿰亻架,,,,,,,,,,
𲑁,32441,CJK-J,,,,,⿰亻彧,,,,,,
𲑂,32442,CJK-J,,,,,,,,⿰亻⿸戸衣,,,
𲑃,32443,CJK-J,,⿲亻丨㚅,,,,,,,,,
𲑄,32444,CJK-J,,,,,,⿱但正,,,,,
𲑅,32445,CJK-J,,⿱亠⿻⿰仌仌十,,,,,,,,,
𲑆,32446,CJK-J,,,,,,⿰亻关灬,,,,,
𲑇,32447,CJK-J,,,,,⿰亻基,,,,,,
𲑈,32448,CJK-J,,,,,,,,,⿰亻堅,,
𲑉,32449,CJK-J,,,,,,⿰孛𫢋,,,,,
𲑊,3244A,CJK-J,,,,,⿰亻卨,,,,,,
𲑋,3244B,CJK-J,,⿰亻常,,,,,,,,,
𲑌,3244C,CJK-J,⿰亻造,⿰亻造,,,,,,,,,
𲑍,3244D,CJK-J,,⿰倍阝,,,,,,,,,
𲑎,3244E,CJK-J,,,,,,⿰何牢,,,,,
𲑏,3244F,CJK-J,,,,,,,,,⿱𠆢⿳人人人⿳人人人,,
𲑐,32450,CJK-J,,,,,,,,,,,
𲑑,32451,CJK-J,,,,,,,,,,,
𲑒,32452,CJK-J,,,,,,,,,,,
𲑓,32453,CJK-J,,,,,,,,,,,
𲑔,32454,CJK-J,,,,,,,,,,,
𲑕,32455,CJK-J,,,,,,,,,,,
𲑖,32456,CJK-J,,,,,,,,,,,
𲑗,32457,CJK-J,,,,,,,,,,,
𲑘,32458,CJK-J,,,,,,,,,,,
𲑙,32459,CJK-J,,,,,,,,,,,
𲑚,3245A,CJK-J,,,,,,,,,,,
𲑛,3245B,CJK-J,,,,,,,,,,,
𲑜,3245C,CJK-J,,,,,,,,,,,
𲑝,3245D,CJK-J,,,,,,,,,,,
𲑞,3245E,CJK-J,,,,,,,,,,,
𲑟,3245F,CJK-J,,,,,,,,,,,
𲑠,32460,CJK-J,,,,,,,,,,,
𲑡,32461,CJK-J,,,,,,,,,,,
𲑢,32462,CJK-J,,,,,,,,,,,
𲑣,32463,CJK-J,,,,,,,,,,,
𲑤,32464,CJK-J,,,,,,,,,,,
𲑥,32465,CJK-J,,,,,,,,,,,
𲑦,32466,CJK-J,,,,,,,,,,,
𲑧,32467,CJK-J,,,,,,,,,,,
𲑨,32468,CJK-J,,,,,,,,,,,
𲑩,32469,CJK-J,,,,,,,,,,,
𲑪,3246A,CJK-J,,,,,,,,,,,
𲑫,3246B,CJK-J,,,,,,,,,,,
𲑬,3246C,CJK-J,,,,,,,,,,,
𲑭,3246D,CJK-J,,,,,,,,,,,
𲑮,3246E,CJK-J,,,,,,,,,,,
𲑯,3246F,CJK-J,,,,,,,,,,,
𲑰,32470,CJK-J,,,,,,,,,,,
𲑱,32471,CJK-J,,,,,,,,,,,
𲑲,32472,CJK-J,,,,,,,,,,,
𲑳,32473,CJK-J,,,,,,,,,,,
𲑴,32474,CJK-J,,,,,,,,,,,
𲑵,32475,CJK-J,,,,,,,,,,,
𲑶,32476,CJK-J,,,,,,,,,,,
𲑷,32477,CJK-J,,,,,,,,,,,
𲑸,32478,CJK-J,,,,,,,,,,,
𲑹,32479,CJK-J,,,,,,,,,,,
𲑺,3247A,CJK-J,,,,,,,,,,,
𲑻,3247B,CJK-J,,,,,,,,,,,
𲑼,3247C,CJK-J,,,,,,,,,,,
𲑽,3247D,CJK-J,,,,,,,,,,,
𲑾,3247E,CJK-J,,,,,,,,,,,
𲑿,3247F,CJK-J,,,,,,,,,,,
𲒀,32480,CJK-J,,,,,,,,,,,
𲒁,32481,CJK-J,,,,,,,,,,,
𲒂,32482,CJK-J,,,,,,,,,,,
𲒃,32483,CJK-J,,,,,,,,,,,
𲒄,32484,CJK-J,,,,,,,,,,,
𲒅,32485,CJK-J,,,,,,,,,,,
𲒆,32486,CJK-J,,,,,,,,,,,
𲒇,32487,CJK-J,,,,,,,,,,,
𲒈,32488,CJK-J,,,,,,,,,,,
𲒉,32489,CJK-J,,,,,,,,,,,
𲒊,3248A,CJK-J,,,,,,,,,,,
𲒋,3248B,CJK-J,,,,,,,,,,,
𲒌,3248C,CJK-J,,,,,,,,,,,
𲒍,3248D,CJK-J,,,,,,,,,,,
𲒎,3248E,CJK-J,,,,,,,,,,,
𲒏,3248F,CJK-J,,,,,,,,,,,
𲒐,32490,CJK-J,,,,,,,,,,,
𲒑,32491,CJK-J,,,,,,,,,,,
𲒒,32492,CJK-J,,,,,,,,,,,
𲒓,32493,CJK-J,,,,,,,,,,,
𲒔,32494,CJK-J,,,,,,,,,,,
𲒕,32495,CJK-J,,,,,,,,,,,
𲒖,32496,CJK-J,,,,,,,,,,,
𲒗,32497,CJK-J,,,,,,,,,,,
𲒘,32498,CJK-J,,,,,,,,,,,
𲒙,32499,CJK-J,,,,,,,,,,,
𲒚,3249A,CJK-J,,,,,,,,,,,
𲒛,3249B,CJK-J,,,,,,,,,,,
𲒜,3249C,CJK-J,,,,,,,,,,,
𲒝,3249D,CJK-J,,,,,,,,,,,
𲒞,3249E,CJK-J,,,,,,,,,,,
𲒟,3249F,CJK-J,,,,,,,,,,,
𲒠,324A0,CJK-J,,,,,,,,,,,
𲒡,324A1,CJK-J,,,,,,,,,,,
𲒢,324A2,CJK-J,,,,,,,,,,,
𲒣,324A3,CJK-J,,,,,,,,,,,
𲒤,324A4,CJK-J,,,,,,,,,,,
𲒥,324A5,CJK-J,,,,,,,,,,,
𲒦,324A6,CJK-J,,,,,,,,,,,
𲒧,324A7,CJK-J,,,,,,,,,,,
𲒨,324A8,CJK-J,,,,,,,,,,,
𲒩,324A9,CJK-J,,,,,,,,,,,
𲒪,324AA,CJK-J,,,,,,,,,,,
𲒫,324AB,CJK-J,,,,,,,,,,,
𲒬,324AC,CJK-J,,,,,,,,,,,
𲒭,324AD,CJK-J,,,,,,,,,,,
𲒮,324AE,CJK-J,,,,,,,,,,,
𲒯,324AF,CJK-J,,,,,,,,,,,
𲒰,324B0,CJK-J,,,,,,,,,,,
𲒱,324B1,CJK-J,,,,,,,,,,,
𲒲,324B2,CJK-J,,,,,,,,,,,
𲒳,324B3,CJK-J,,,,,,,,,,,
𲒴,324B4,CJK-J,,,,,,,,,,,
𲒵,324B5,CJK-J,,,,,,,,,,,
𲒶,324B6,CJK-J,,,,,,,,,,,
𲒷,324B7,CJK-J,,,,,,,,,,,
𲒸,324B8,CJK-J,,,,,,,,,,,
𲒹,324B9,CJK-J,,,,,,,,,,,
𲒺,324BA,CJK-J,,,,,,,,,,,
𲒻,324BB,CJK-J,,,,,,,,,,,
𲒼,324BC,CJK-J,,,,,,,,,,,
𲒽,324BD,CJK-J,,,,,,,,,,,
𲒾,324BE,CJK-J,,,,,,,,,,,
𲒿,324BF,CJK-J,,,,,,,,,,,
𲓀,324C0,CJK-J,,,,,,,,,,,
𲓁,324C1,CJK-J,,,,,,,,,,,
𲓂,324C2,CJK-J,,,,,,,,,,,
𲓃,324C3,CJK-J,,,,,,,,,,,
𲓄,324C4,CJK-J,,,,,,,,,,,
𲓅,324C5,CJK-J,,,,,,,,,,,
𲓆,324C6,CJK-J,,,,,,,,,,,
𲓇,324C7,CJK-J,,,,,,,,,,,
𲓈,324C8,CJK-J,,,,,,,,,,,
𲓉,324C9,CJK-J,,,,,,,,,,,
𲓊,324CA,CJK-J,,,,,,,,,,,
𲓋,324CB,CJK-J,,,,,,,,,,,
𲓌,324CC,CJK-J,,,,,,,,,,,
𲓍,324CD,CJK-J,,,,,,,,,,,
𲓎,324CE,CJK-J,,,,,,,,,,,
𲓏,324CF,CJK-J,,,,,,,,,,,
𲓐,324D0,CJK-J,,,,,,,,,,,
𲓑,324D1,CJK-J,,,,,,,,,,,
𲓒,324D2,CJK-J,,,,,,,,,,,
𲓓,324D3,CJK-J,,,,,,,,,,,
𲓔,324D4,CJK-J,,,,,,,,,,,
𲓕,324D5,CJK-J,,,,,,,,,,,
𲓖,324D6,CJK-J,,,,,,,,,,,
𲓗,324D7,CJK-J,,,,,,,,,,,
𲓘,324D8,CJK-J,,,,,,,,,,,
𲓙,324D9,CJK-J,,,,,,,,,,,
𲓚,324DA,CJK-J,,,,,,,,,,,
𲓛,324DB,CJK-J,,,,,,,,,,,
𲓜,324DC,CJK-J,,,,,,,,,,,
𲓝,324DD,CJK-J,,,,,,,,,,,
𲓞,324DE,CJK-J,,,,,,,,,,,
𲓟,324DF,CJK-J,,,,,,,,,,,
𲓠,324E0,CJK-J,,,,,,,,,,,
𲓡,324E1,CJK-J,,,,,,,,,,,
𲓢,324E2,CJK-J,,,,,,,,,,,
𲓣,324E3,CJK-J,,,,,,,,,,,
𲓤,324E4,CJK-J,,,,,,,,,,,
𲓥,324E5,CJK-J,,,,,,,,,,,
𲓦,324E6,CJK-J,,,,,,,,,,,
𲓧,324E7,CJK-J,,,,,,,,,,,
𲓨,324E8,CJK-J,,,,,,,,,,,
𲓩,324E9,CJK-J,,,,,,,,,,,
𲓪,324EA,CJK-J,,,,,,,,,,,
𲓫,324EB,CJK-J,,,,,,,,,,,
𲓬,324EC,CJK-J,,,,,,,,,,,
𲓭,324ED,CJK-J,,,,,,,,,,,
𲓮,324EE,CJK-J,,,,,,,,,,,
𲓯,324EF,CJK-J,,,,,,,,,,,
𲓰,324F0,CJK-J,,,,,,,,,,,
𲓱,324F1,CJK-J,,,,,,,,,,,
𲓲,324F2,CJK-J,,,,,,,,,,,
𲓳,324F3,CJK-J,,,,,,,,,,,
𲓴,324F4,CJK-J,,,,,,,,,,,
𲓵,324F5,CJK-J,,,,,,,,,,,
𲓶,324F6,CJK-J,,,,,,,,,,,
𲓷,324F7,CJK-J,,,,,,,,,,,
𲓸,324F8,CJK-J,,,,,,,,,,,
𲓹,324F9,CJK-J,,,,,,,,,,,
𲓺,324FA,CJK-J,,,,,,,,,,,
𲓻,324FB,CJK-J,,,,,,,,,,,
𲓼,324FC,CJK-J,,,,,,,,,,,
𲓽,324FD,CJK-J,,,,,,,,,,,
𲓾,324FE,CJK-J,,,,,,,,,,,
𲓿,324FF,CJK-J,,,,,,,,,,,
𲔀,32500,CJK-J,,,,,,,,,,,
𲔁,32501,CJK-J,,,,,,,,,,,
𲔂,32502,CJK-J,,,,,,,,,,,
𲔃,32503,CJK-J,,,,,,,,,,,
𲔄,32504,CJK-J,,,,,,,,,,,
𲔅,32505,CJK-J,,,,,,,,,,,
𲔆,32506,CJK-J,,,,,,,,,,,
𲔇,32507,CJK-J,,,,,,,,,,,
𲔈,32508,CJK-J,,,,,,,,,,,
𲔉,32509,CJK-J,,,,,,,,,,,
𲔊,3250A,CJK-J,,,,,,,,,,,
𲔋,3250B,CJK-J,,,,,,,,,,,
𲔌,3250C,CJK-J,,,,,,,,,,,
𲔍,3250D,CJK-J,,,,,,,,,,,
𲔎,3250E,CJK-J,,,,,,,,,,,
𲔏,3250F,CJK-J,,,,,,,,,,,
𲔐,32510,CJK-J,,,,,,,,,,,
𲔑,32511,CJK-J,,,,,,,,,,,
𲔒,32512,CJK-J,,,,,,,,,,,
𲔓,32513,CJK-J,,,,,,,,,,,
𲔔,32514,CJK-J,,,,,,,,,,,
𲔕,32515,CJK-J,,,,,,,,,,,
𲔖,32516,CJK-J,,,,,,,,,,,
𲔗,32517,CJK-J,,,,,,,,,,,
𲔘,32518,CJK-J,,,,,,,,,,,
𲔙,32519,CJK-J,,,,,,,,,,,
𲔚,3251A,CJK-J,,,,,,,,,,,
𲔛,3251B,CJK-J,,,,,,,,,,,
𲔜,3251C,CJK-J,,,,,,,,,,,
𲔝,3251D,CJK-J,,,,,,,,,,,
𲔞,3251E,CJK-J,,,,,,,,,,,
𲔟,3251F,CJK-J,,,,,,,,,,,
𲔠,32520,CJK-J,,,,,,,,,,,
𲔡,32521,CJK-J,,,,,,,,,,,
𲔢,32522,CJK-J,,,,,,,,,,,
𲔣,32523,CJK-J,,,,,,,,,,,
𲔤,32524,CJK-J,,,,,,,,,,,
𲔥,32525,CJK-J,,,,,,,,,,,
𲔦,32526,CJK-J,,,,,,,,,,,
𲔧,32527,CJK-J,,,,,,,,,,,
𲔨,32528,CJK-J,,,,,,,,,,,
𲔩,32529,CJK-J,,,,,,,,,,,
𲔪,3252A,CJK-J,,,,,,,,,,,
𲔫,3252B,CJK-J,,,,,,,,,,,
𲔬,3252C,CJK-J,,,,,,,,,,,
𲔭,3252D,CJK-J,,,,,,,,,,,
𲔮,3252E,CJK-J,,,,,,,,,,,
𲔯,3252F,CJK-J,,,,,,,,,,,
𲔰,32530,CJK-J,,,,,,,,,,,
𲔱,32531,CJK-J,,,,,,,,,,,
𲔲,32532,CJK-J,,,,,,,,,,,
𲔳,32533,CJK-J,,,,,,,,,,,
𲔴,32534,CJK-J,,,,,,,,,,,
𲔵,32535,CJK-J,,,,,,,,,,,
𲔶,32536,CJK-J,,,,,,,,,,,
𲔷,32537,CJK-J,,,,,,,,,,,
𲔸,32538,CJK-J,,,,,,,,,,,
𲔹,32539,CJK-J,,,,,,,,,,,
𲔺,3253A,CJK-J,,,,,,,,,,,
𲔻,3253B,CJK-J,,,,,,,,,,,
𲔼,3253C,CJK-J,,,,,,,,,,,
𲔽,3253D,CJK-J,,,,,,,,,,,
𲔾,3253E,CJK-J,,,,,,,,,,,
𲔿,3253F,CJK-J,,,,,,,,,,,
𲕀,32540,CJK-J,,,,,,,,,,,
𲕁,32541,CJK-J,,,,,,,,,,,
𲕂,32542,CJK-J,,,,,,,,,,,
𲕃,32543,CJK-J,,,,,,,,,,,
𲕄,32544,CJK-J,,,,,,,,,,,
𲕅,32545,CJK-J,,,,,,,,,,,
𲕆,32546,CJK-J,,,,,,,,,,,
𲕇,32547,CJK-J,,,,,,,,,,,
𲕈,32548,CJK-J,,,,,,,,,,,
𲕉,32549,CJK-J,,,,,,,,,,,
𲕊,3254A,CJK-J,,,,,,,,,,,
𲕋,3254B,CJK-J,,,,,,,,,,,
𲕌,3254C,CJK-J,,,,,,,,,,,
𲕍,3254D,CJK-J,,,,,,,,,,,
𲕎,3254E,CJK-J,,,,,,,,,,,
𲕏,3254F,CJK-J,,,,,,,,,,,
𲕐,32550,CJK-J,,,,,,,,,,,
𲕑,32551,CJK-J,,,,,,,,,,,
𲕒,32552,CJK-J,,,,,,,,,,,
𲕓,32553,CJK-J,,,,,,,,,,,
𲕔,32554,CJK-J,,,,,,,,,,,
𲕕,32555,CJK-J,,,,,,,,,,,
𲕖,32556,CJK-J,,,,,,,,,,,
𲕗,32557,CJK-J,,,,,,,,,,,
𲕘,32558,CJK-J,,,,,,,,,,,
𲕙,32559,CJK-J,,,,,,,,,,,
𲕚,3255A,CJK-J,,,,,,,,,,,
𲕛,3255B,CJK-J,,,,,,,,,,,
𲕜,3255C,CJK-J,,,,,,,,,,,
𲕝,3255D,CJK-J,,,,,,,,,,,
